EffectBase,Category,Levels,Overlap,Demerit,Existing,note
出撃時に「緋色の結晶雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「緋溢れの結晶雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「緋湧きの結晶雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「青色の結晶雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「緑湧きの結晶雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「真珠色の硬雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「斑彩色の硬雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「鉛色の硬雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「魔力纏いの割れ雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「炎纏いの割れ雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「雷纏いの割れ雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「聖纏いの割れ雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「岩棘の割れ雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「大棘の割れ雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「連棘の割れ雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「細枝の割れ雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「風の結晶雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「緋色の泡雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「緋色渦の泡雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「真珠色の泡雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「青色の秘雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
出撃時に「破裂した結晶雫」を持つ,出撃時のアイテム(結晶の雫),none,〇,FALSE,,
自身と味方の取得ルーン増加,チームメンバー,none,〇,FALSE,〇,既存効果
自身を除く、周囲の味方のスタミナ回復速度上昇,チームメンバー,none,✕,FALSE,〇,既存効果
聖杯瓶の回復を、周囲の味方に分配,チームメンバー,none,✕,FALSE,〇,既存効果
敵を倒した時、自身を除く周囲の味方のHPを回復,チームメンバー,none,✕,FALSE,〇,既存効果
アイテムの効果が周囲の味方にも発動,チームメンバー,none,✕,FALSE,〇,既存効果
埋もれ宝の位置を地図に表示,マップ環境,none,✕,FALSE,〇,既存効果
出撃中、ショップでの購入に必要なルーンが割引,マップ環境,none,✕,FALSE,〇,既存効果
【追跡者】精神力上昇、生命力低下,追跡者,none,✕,FALSE,,"Lv.15時、生命力-5, 精神力+10"
【追跡者】知力/信仰上昇、筋力/技量低下,追跡者,none,✕,FALSE,,"Lv.15時、知力+15, 信仰+15, 筋力-7, 技量-5"
【追跡者】スキルに、出血の状態異常を付加,追跡者,none,✕,FALSE,,出血の蓄積量は当て60、引っ張り55、素のダメージに影響はない
【守護者】筋力/技量上昇、生命力低下,守護者,none,✕,FALSE,,"Lv.15時、筋力+9, 技量+19, 生命力-8"
【守護者】精神力/信仰上昇、生命力低下,守護者,none,✕,FALSE,,"Lv.15時、精神力+8, 信仰+17, 生命力-6"
【守護者】スキル使用時、周囲の味方のカット率上昇,守護者,none,✕,FALSE,,自分を含め、周囲の味方に約18%のカット率上昇を30秒間付与。この効果中に再使用でその時から30秒間有効
【鉄の目】生命力/筋力上昇、技量低下,鉄の目,none,✕,FALSE,,"Lv.15時、生命力+5, 筋力+20, 技量-13"
【鉄の目】神秘上昇、技量低下,鉄の目,none,✕,FALSE,,"Lv.15時、神秘+15, 技量-9"
【鉄の目】スキルに毒の状態異常を付加して毒状態の敵に大ダメージ,鉄の目,none,✕,FALSE,,毒の蓄積量は70、毒状態の敵に与えるダメージ量はマーキングの素ダメージ＋250＋対象の最大HP0.25%分
【レディ】生命力/筋力上昇、精神力低下,レディ,none,✕,FALSE,,"Lv.15時、生命力+3,筋力+24, 精神力-14"
【レディ】精神力/信仰上昇、知力低下,レディ,none,✕,FALSE,,"Lv.15時、精神力+3, 信仰+13, 知力-5"
【レディ】スキル使用時、僅かに無敵,レディ,none,✕,FALSE,,本人の回避一段止めと同じぐらいの無敵時間。回避の後隙、攻撃動作中、怯みモーション中も無敵になれる。掴み攻撃は拘束されるものの、ダメージは無敵で回避可能
【無頼漢】精神力/知力上昇、生命力/持久力低下,無頼漢,none,✕,FALSE,,"Lv.15時、精神力+9, 知力+35, 生命力-8, 持久力-4"
【無頼漢】神秘上昇、生命力低下,無頼漢,none,✕,FALSE,,"Lv.15時、神秘+17, 生命力-4"
【無頼漢】スキル命中時、敵の攻撃力低下,無頼漢,none,✕,FALSE,,13秒間、対象の与ダメージ約15%低下
【復讐者】生命力/持久力上昇、精神力低下,復讐者,none,✕,FALSE,,"Lv.15時、生命力+5, 持久力+5, 精神力-11"
【復讐者】筋力上昇、信仰低下,復讐者,none,✕,FALSE,,"Lv.15時、筋力+25, 信仰-6"
【復讐者】アビリティ発動時、最大FP上昇,復讐者,none,✕,FALSE,,効果は最大60回まで累積し、永続する。上昇値はスタック数で変動。1～20体まで+0.75%、21～40体まで+0.85%、41～60体まで+0.95%。最大スタックで+51%
【隠者】生命力/持久力/技量上昇、知力/信仰低下,隠者,none,✕,FALSE,,"Lv.15時、生命力+4, 持久力+5, 技量+20, 知力-10, 信仰-10"
【隠者】知力/信仰上昇、精神力低下,隠者,none,✕,FALSE,,"Lv.15時、知力+12, 信仰+12, 精神力-13"
【隠者】属性痕を集めた時、対応する属性カット率上昇,隠者,none,✕,FALSE,,属性痕を一つ集めると対応する属性カット率が30秒間約20%上昇
【執行者】生命力/持久力上昇、神秘低下,執行者,none,✕,FALSE,,"Lv.15時、生命力+5, 持久力+6,神秘-13"
【執行者】技量/神秘上昇、生命力低下,執行者,none,✕,FALSE,,"Lv.15時、技量+12, 神秘+9, 生命力-7"
【執行者】アビリティ発動時、HPをゆっくりと回復,執行者,none,✕,FALSE,,1秒毎に最大HP✕0.0025＋3の回復量。Lv15で約5/sの回復量。持続25秒
短剣の攻撃力上昇,短剣,none,〇,FALSE,〇,
短剣の攻撃でHP回復,短剣,none,✕,FALSE,〇,
短剣の攻撃でFP回復,短剣,none,✕,FALSE,〇,
短剣の武器種を3つ以上装備していると攻撃力上昇,短剣,none,✕,FALSE,〇,
直剣の攻撃力上昇,直剣,none,〇,FALSE,〇,
直剣の攻撃でHP回復,直剣,none,✕,FALSE,〇,
直剣の攻撃でFP回復,直剣,none,✕,FALSE,〇,
直剣の武器種を3つ以上装備していると攻撃力上昇,直剣,none,✕,FALSE,〇,
大剣の攻撃力上昇,大剣,none,〇,FALSE,〇,
大剣の攻撃でHP回復,大剣,none,✕,FALSE,〇,
大剣の攻撃でFP回復,大剣,none,✕,FALSE,〇,
大剣の武器種を3つ以上装備していると攻撃力上昇,大剣,none,✕,FALSE,〇,
特大剣の攻撃力上昇,特大剣,none,〇,FALSE,〇,
特大剣の攻撃でHP回復,特大剣,none,✕,FALSE,〇,
特大剣の攻撃でFP回復,特大剣,none,✕,FALSE,〇,
特大剣の武器種を3つ以上装備していると攻撃力上昇,特大剣,none,✕,FALSE,〇,
刺剣の攻撃力上昇,刺剣,none,〇,FALSE,〇,
刺剣の攻撃でHP回復,刺剣,none,✕,FALSE,〇,
刺剣の攻撃でFP回復,刺剣,none,✕,FALSE,〇,
刺剣の武器種を3つ以上装備していると攻撃力上昇,刺剣,none,✕,FALSE,〇,
重刺剣の攻撃力上昇,重刺剣,none,〇,FALSE,〇,
重刺剣の攻撃でHP回復,重刺剣,none,✕,FALSE,〇,
重刺剣の攻撃でFP回復,重刺剣,none,✕,FALSE,〇,
重刺剣の武器種を3つ以上装備していると攻撃力上昇,重刺剣,none,✕,FALSE,〇,
曲剣の攻撃力上昇,曲剣,none,〇,FALSE,〇,
曲剣の攻撃でHP回復,曲剣,none,✕,FALSE,〇,
曲剣の攻撃でFP回復,曲剣,none,✕,FALSE,〇,
曲剣の武器種を3つ以上装備していると攻撃力上昇,曲剣,none,✕,FALSE,〇,
大曲剣の攻撃力上昇,大曲剣,none,〇,FALSE,〇,
大曲剣の攻撃でHP回復,大曲剣,none,✕,FALSE,〇,
大曲剣の攻撃でFP回復,大曲剣,none,✕,FALSE,〇,
大曲剣の武器種を3つ以上装備していると攻撃力上昇,大曲剣,none,✕,FALSE,〇,
刀の攻撃力上昇,刀,none,〇,FALSE,〇,
刀の攻撃でHP回復,刀,none,✕,FALSE,〇,
刀の攻撃でFP回復,刀,none,✕,FALSE,〇,
刀の武器種を3つ以上装備していると攻撃力上昇,刀,none,✕,FALSE,〇,
両刃剣の攻撃力上昇,両刃剣,none,〇,FALSE,〇,
両刃剣の攻撃でHP回復,両刃剣,none,✕,FALSE,〇,
両刃剣の攻撃でFP回復,両刃剣,none,✕,FALSE,〇,
両刃剣の武器種を3つ以上装備していると攻撃力上昇,両刃剣,none,✕,FALSE,〇,
斧の攻撃力上昇,斧,none,〇,FALSE,〇,
斧の攻撃でHP回復,斧,none,✕,FALSE,〇,
斧の攻撃でFP回復,斧,none,✕,FALSE,〇,
斧の武器種を3つ以上装備していると攻撃力上昇,斧,none,✕,FALSE,〇,
大斧の攻撃力上昇,大斧,none,〇,FALSE,〇,
大斧の攻撃でHP回復,大斧,none,✕,FALSE,〇,
大斧の攻撃でFP回復,大斧,none,✕,FALSE,〇,
大斧の武器種を3つ以上装備していると攻撃力上昇,大斧,none,✕,FALSE,〇,
槌の攻撃力上昇,槌,none,〇,FALSE,〇,
槌の攻撃でHP回復,槌,none,✕,FALSE,〇,
槌の攻撃でFP回復,槌,none,✕,FALSE,〇,
槌の武器種を3つ以上装備していると攻撃力上昇,槌,none,✕,FALSE,〇,
フレイルの攻撃力上昇,フレイル,none,〇,FALSE,〇,
フレイルの攻撃でHP回復,フレイル,none,✕,FALSE,〇,
フレイルの攻撃でFP回復,フレイル,none,✕,FALSE,〇,
フレイルの武器種を3つ以上装備していると攻撃力上昇,フレイル,none,✕,FALSE,〇,
大槌の攻撃力上昇,大槌,none,〇,FALSE,〇,
大槌の攻撃でHP回復,大槌,none,✕,FALSE,〇,
大槌の攻撃でFP回復,大槌,none,✕,FALSE,〇,
大槌の武器種を3つ以上装備していると攻撃力上昇,大槌,none,✕,FALSE,〇,
特大武器の攻撃力上昇,特大武器,none,〇,FALSE,〇,
特大武器の攻撃でHP回復,特大武器,none,✕,FALSE,〇,
特大武器の攻撃でFP回復,特大武器,none,✕,FALSE,〇,
特大武器の武器種を3つ以上装備していると攻撃力上昇,特大武器,none,✕,FALSE,〇,
槍の攻撃力上昇,槍,none,〇,FALSE,〇,
槍の攻撃でHP回復,槍,none,✕,FALSE,〇,
槍の攻撃でFP回復,槍,none,✕,FALSE,〇,
槍の武器種を3つ以上装備していると攻撃力上昇,槍,none,✕,FALSE,〇,
大槍の攻撃力上昇,大槍,none,〇,FALSE,〇,
大槍の攻撃でHP回復,大槍,none,✕,FALSE,〇,
大槍の攻撃でFP回復,大槍,none,✕,FALSE,〇,
大槍の武器種を3つ以上装備していると攻撃力上昇,大槍,none,✕,FALSE,〇,
斧槍の攻撃力上昇,斧槍,none,〇,FALSE,〇,
斧槍の攻撃でHP回復,斧槍,none,✕,FALSE,〇,
斧槍の攻撃でFP回復,斧槍,none,✕,FALSE,〇,
斧槍の武器種を3つ以上装備していると攻撃力上昇,斧槍,none,✕,FALSE,〇,
鎌の攻撃力上昇,鎌,none,〇,FALSE,〇,
鎌の攻撃でHP回復,鎌,none,✕,FALSE,〇,
鎌の攻撃でFP回復,鎌,none,✕,FALSE,〇,
鎌の武器種を3つ以上装備していると攻撃力上昇,鎌,none,✕,FALSE,〇,
鞭の攻撃力上昇,鞭,none,〇,FALSE,〇,
鞭の攻撃でHP回復,鞭,none,✕,FALSE,〇,
鞭の攻撃でFP回復,鞭,none,✕,FALSE,〇,
鞭の武器種を3つ以上装備していると攻撃力上昇,鞭,none,✕,FALSE,〇,
拳の攻撃力上昇,拳,none,〇,FALSE,〇,
拳の攻撃でHP回復,拳,none,✕,FALSE,〇,
拳の攻撃でFP回復,拳,none,✕,FALSE,〇,
拳の武器種を3つ以上装備していると攻撃力上昇,拳,none,✕,FALSE,〇,
爪の攻撃力上昇,爪,none,〇,FALSE,〇,
爪の攻撃でHP回復,爪,none,✕,FALSE,〇,
爪の攻撃でFP回復,爪,none,✕,FALSE,〇,
爪の武器種を3つ以上装備していると攻撃力上昇,爪,none,✕,FALSE,〇,
弓の攻撃力上昇,弓,none,〇,FALSE,〇,
弓の攻撃でHP回復,弓,none,✕,FALSE,〇,
弓の攻撃でFP回復,弓,none,✕,FALSE,〇,
弓の武器種を3つ以上装備していると攻撃力上昇,弓,none,✕,FALSE,〇,
小盾の武器種を3つ以上装備していると最大HP上昇,小盾,none,✕,FALSE,〇,
中盾の武器種を3つ以上装備していると最大HP上昇,中盾,none,✕,FALSE,〇,
大盾の武器種を3つ以上装備していると最大HP上昇,大盾,none,✕,FALSE,〇,
杖の武器種を3つ以上装備していると最大FP上昇,杖,none,✕,FALSE,〇,
聖印の武器種を3つ以上装備していると最大FP上昇,聖印,none,✕,FALSE,〇,
潜在する力から、短剣を見つけやすくなる,短剣,none,✕,FALSE,,別の武器種を複数付けた場合、左に付けたものが優先される
潜在する力から、直剣を見つけやすくなる,直剣,none,✕,FALSE,,
潜在する力から、大剣を見つけやすくなる,大剣,none,✕,FALSE,,
潜在する力から、特大剣を見つけやすくなる,特大剣,none,✕,FALSE,,
潜在する力から、刺剣を見つけやすくなる,刺剣,none,✕,FALSE,,
潜在する力から、重刺剣を見つけやすくなる,重刺剣,none,✕,FALSE,,
潜在する力から、曲剣を見つけやすくなる,曲剣,none,✕,FALSE,,
潜在する力から、大曲剣を見つけやすくなる,大曲剣,none,✕,FALSE,,
潜在する力から、刀を見つけやすくなる,刀,none,✕,FALSE,,
潜在する力から、両刃剣を見つけやすくなる,両刃剣,none,✕,FALSE,,
潜在する力から、斧を見つけやすくなる,斧,none,✕,FALSE,,
潜在する力から、大斧を見つけやすくなる,大斧,none,✕,FALSE,,
潜在する力から、槌を見つけやすくなる,槌,none,✕,FALSE,,
潜在する力から、フレイルを見つけやすくなる,フレイル,none,✕,FALSE,,
潜在する力から、大槌を見つけやすくなる,大槌,none,✕,FALSE,,
潜在する力から、特大武器を見つけやすくなる,特大武器,none,✕,FALSE,,
潜在する力から、槍を見つけやすくなる,槍,none,✕,FALSE,,
潜在する力から、大槍を見つけやすくなる,大槍,none,✕,FALSE,,
潜在する力から、斧槍を見つけやすくなる,斧槍,none,✕,FALSE,,
潜在する力から、鎌を見つけやすくなる,鎌,none,✕,FALSE,,
潜在する力から、鞭を見つけやすくなる,鞭,none,✕,FALSE,,
潜在する力から、拳を見つけやすくなる,拳,none,✕,FALSE,,
潜在する力から、爪を見つけやすくなる,爪,none,✕,FALSE,,
潜在する力から、弓を見つけやすくなる,弓,none,✕,FALSE,,
潜在する力から、小盾を見つけやすくなる,小盾,none,✕,FALSE,,
潜在する力から、中盾を見つけやすくなる,中盾,none,✕,FALSE,,
潜在する力から、大盾を見つけやすくなる,大盾,none,✕,FALSE,,
潜在する力から、杖を見つけやすくなる,杖,none,✕,FALSE,,
潜在する力から、聖印を見つけやすくなる,聖印,none,✕,FALSE,,
