EffectBase,Category,Levels,Overlap,Demerit,note
致命の一撃で、スタミナ回復速度上昇,回復,none,✕,FALSE,
致命の一撃で、ルーンを取得,アクション,none,✕,FALSE,
武器の持ち替え時、いずれかの属性攻撃力を付加,アクション,none,✕,FALSE,
ガード中、敵に狙われやすくなる,アクション,none,△,FALSE,祈祷「シャブリリの叫び」との重ね掛けは可能
ジェスチャー「あぐら」により、発狂が蓄積,アクション,none,〇,FALSE,
毒状態の敵に対する攻撃を強化,アクション,none,△,FALSE,
腐敗状態の敵に対する攻撃を強化,アクション,none,△,FALSE,
凍傷状態の敵に対する攻撃を強化,アクション,none,△,FALSE,
周囲で毒／腐敗状態の発生時、攻撃力上昇,アクション,none,✕,FALSE,
周囲で凍傷状態の発生時、自身の姿を隠す,アクション,none,✕,FALSE,
出撃時の武器の戦技を「我慢」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「クイックステップ」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「嵐脚」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「デターミネーション」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「輝剣の円陣」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「グラビタス」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「炎撃」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「溶岩噴火」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「落雷」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「雷撃斬」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「聖なる刃」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「祈りの一撃」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「毒の霧」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「毒蛾は二度舞う」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「血の刃」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「切腹」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「冷気の霧」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「霜踏み」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「白い影の誘い」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器の戦技を「アローレイン」にする,出撃時の武器（戦技）,none,✕,FALSE,
出撃時の武器に魔力攻撃力を付加,出撃時の武器（付加）,none,✕,FALSE,
出撃時の武器に炎攻撃力を付加,出撃時の武器（付加）,none,✕,FALSE,
出撃時の武器に雷攻撃力を付加,出撃時の武器（付加）,none,✕,FALSE,
出撃時の武器に聖攻撃力を付加,出撃時の武器（付加）,none,✕,FALSE,
出撃時の武器に毒の状態異常を付加,出撃時の武器（付加）,none,✕,FALSE,
出撃時の武器に出血の状態異常を付加,出撃時の武器（付加）,none,✕,FALSE,
出撃時の武器に冷気の状態異常を付加,出撃時の武器（付加）,none,✕,FALSE,
出撃時に「星光の欠片」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「魔力壺」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「火炎壺」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「雷壺」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「聖水壺」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「骨の毒投げ矢」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「結晶投げ矢」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「スローイングダガー」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「屑輝石」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「塊の重力石」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「誘惑の枝」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「呪霊喚びの鈴｣を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「魔力脂」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「火脂」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「雷脂」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「聖脂」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「盾脂」を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「小さなポーチ｣を持つ,出撃時のアイテム,none,〇,FALSE,
出撃時に「石剣の鍵」を持つ,出撃時のアイテム,none,✕,FALSE,
埋もれ宝の位置を地図に表示,マップ環境,none,✕,FALSE,
出撃中、ショップでの購入に必要なルーンが割引,マップ環境,none,△,FALSE,
出撃中、ショップでの購入に必要なルーンが大割引,マップ環境,none,△,FALSE,
自身と味方の取得ルーン増加,チームメンバー,none,〇,FALSE,
自身を除く、周囲の味方のスタミナ回復速度上昇,チームメンバー,none,✕,FALSE,
聖杯瓶の回復を、周囲の味方に分配,チームメンバー,none,✕,FALSE,
敵を倒した時、自身を除く周囲の味方のHPを回復,チームメンバー,none,✕,FALSE,
アイテムの効果が周囲の味方にも発動,チームメンバー,none,✕,FALSE,
【追跡者】アビリティ発動時、アーツゲージ増加,追跡者,none,✕,FALSE,
【追跡者】スキル使用時、通常攻撃で炎を纏った追撃を行う（大剣のみ）,追跡者,none,✕,FALSE,
【追跡者】スキルの使用回数＋１,追跡者,none,✕,FALSE,
【追跡者】アーツ発動時、周囲を延焼,追跡者,none,✕,FALSE,
【守護者】アビリティ発動中　ガード成功時、衝撃波が発生,守護者,none,✕,FALSE,
【守護者】スキルの持続時間延長,守護者,none,✕,FALSE,
【守護者】アーツ発動時、周囲の味方HPを徐々に回復,守護者,none,✕,FALSE,
【守護者】斧槍タメ攻撃時、つむじ風が発生,守護者,none,✕,FALSE,
【鉄の目】スキルの使用回数＋１,鉄の目,none,✕,FALSE,
【鉄の目】アーツのタメ発動時、毒の状態異常を付加,鉄の目,none,✕,FALSE,
【鉄の目】アーツ発動後、刺突カウンター強化,鉄の目,none,✕,FALSE,
【鉄の目】弱点の持続時間を延長させる,鉄の目,none,✕,FALSE,
【レディ】スキルのダメージ上昇,レディ,none,✕,FALSE,
【レディ】アーツ発動中、敵撃破で攻撃力上昇,レディ,none,✕,FALSE,
【レディ】短剣による連続攻撃時　周囲の敵に、直近の出来事を再演,レディ,none,✕,FALSE,
【レディ】背後からの致命の一撃後　自身の姿を見え難くし、足音を消す,レディ,none,✕,FALSE,
【無頼漢】スキル中に攻撃を受けると攻撃力と最大スタミナ上昇,無頼漢,none,✕,FALSE,
【無頼漢】アーツの効果時間延長,無頼漢,none,✕,FALSE,
トーテム・ステラの周囲で敵を倒した時、HP回復,無頼漢,none,✕,FALSE,
トーテム・ステラの周囲で、強靭度上昇,無頼漢,none,✕,FALSE,
【復讐者】アーツ発動時、霊炎の爆発を発生,復讐者,none,✕,FALSE,
【復讐者】アーツ発動時　自身のHPと引き換えに周囲の味方のHPを全回復,復讐者,none,✕,FALSE,
【復讐者】アーツ発動時、ファミリーと味方を強化,復讐者,none,✕,FALSE,
【復讐者】ファミリーと共闘中の間、自身を強化,復讐者,none,✕,FALSE,
【隠者】アーツ発動時　自身が出血状態になり、攻撃力上昇,隠者,none,✕,FALSE,
【隠者】アーツ発動時、最大HP上昇,隠者,none,✕,FALSE,
【隠者】属性痕を集めた時、「魔術の地」が発動,隠者,none,✕,FALSE,
【執行者】スキル中の攻撃力上昇、攻撃時にHP減少,執行者,none,✕,FALSE,
【執行者】スキル中、妖刀が解放状態になるとHP回復,執行者,none,✕,FALSE,
【執行者】アーツ発動中、咆哮でHP回復,執行者,none,✕,FALSE,
短剣の攻撃力上昇,短剣,none,〇,FALSE,
短剣の攻撃でHP回復,短剣,none,✕,FALSE,
短剣の攻撃でFP回復,短剣,none,✕,FALSE,
短剣の武器種を3つ以上装備していると攻撃力上昇,短剣,none,✕,FALSE,
直剣の攻撃力上昇,直剣,none,〇,FALSE,
直剣の攻撃でHP回復,直剣,none,✕,FALSE,
直剣の攻撃でFP回復,直剣,none,✕,FALSE,
直剣の武器種を3つ以上装備していると攻撃力上昇,直剣,none,✕,FALSE,
大剣の攻撃力上昇,大剣,none,〇,FALSE,
大剣の攻撃でHP回復,大剣,none,✕,FALSE,
大剣の攻撃でFP回復,大剣,none,✕,FALSE,
大剣の武器種を3つ以上装備していると攻撃力上昇,大剣,none,✕,FALSE,
特大剣の攻撃力上昇,特大剣,none,〇,FALSE,
特大剣の攻撃でHP回復,特大剣,none,✕,FALSE,
特大剣の攻撃でFP回復,特大剣,none,✕,FALSE,
特大剣の武器種を3つ以上装備していると攻撃力上昇,特大剣,none,✕,FALSE,
刺剣の攻撃力上昇,刺剣,none,〇,FALSE,
刺剣の攻撃でHP回復,刺剣,none,✕,FALSE,
刺剣の攻撃でFP回復,刺剣,none,✕,FALSE,
刺剣の武器種を3つ以上装備していると攻撃力上昇,刺剣,none,✕,FALSE,
重刺剣の攻撃力上昇,重刺剣,none,〇,FALSE,
重刺剣の攻撃でHP回復,重刺剣,none,✕,FALSE,
重刺剣の攻撃でFP回復,重刺剣,none,✕,FALSE,
重刺剣の武器種を3つ以上装備していると攻撃力上昇,重刺剣,none,✕,FALSE,
曲剣の攻撃力上昇,曲剣,none,〇,FALSE,
曲剣の攻撃でHP回復,曲剣,none,✕,FALSE,
曲剣の攻撃でFP回復,曲剣,none,✕,FALSE,
曲剣の武器種を3つ以上装備していると攻撃力上昇,曲剣,none,✕,FALSE,
大曲剣の攻撃力上昇,大曲剣,none,〇,FALSE,
大曲剣の攻撃でHP回復,大曲剣,none,✕,FALSE,
大曲剣の攻撃でFP回復,大曲剣,none,✕,FALSE,
大曲剣の武器種を3つ以上装備していると攻撃力上昇,大曲剣,none,✕,FALSE,
刀の攻撃力上昇,刀,none,〇,FALSE,
刀の攻撃でHP回復,刀,none,✕,FALSE,
刀の攻撃でFP回復,刀,none,✕,FALSE,
刀の武器種を3つ以上装備していると攻撃力上昇,刀,none,✕,FALSE,
両刃剣の攻撃力上昇,両刃剣,none,〇,FALSE,
両刃剣の攻撃でHP回復,両刃剣,none,✕,FALSE,
両刃剣の攻撃でFP回復,両刃剣,none,✕,FALSE,
両刃剣の武器種を3つ以上装備していると攻撃力上昇,両刃剣,none,✕,FALSE,
斧の攻撃力上昇,斧,none,〇,FALSE,
斧の攻撃でHP回復,斧,none,✕,FALSE,
斧の攻撃でFP回復,斧,none,✕,FALSE,
斧の武器種を3つ以上装備していると攻撃力上昇,斧,none,✕,FALSE,
大斧の攻撃力上昇,大斧,none,〇,FALSE,
大斧の攻撃でHP回復,大斧,none,✕,FALSE,
大斧の攻撃でFP回復,大斧,none,✕,FALSE,
大斧の武器種を3つ以上装備していると攻撃力上昇,大斧,none,✕,FALSE,
槌の攻撃力上昇,槌,none,〇,FALSE,
槌の攻撃でHP回復,槌,none,✕,FALSE,
槌の攻撃でFP回復,槌,none,✕,FALSE,
槌の武器種を3つ以上装備していると攻撃力上昇,槌,none,✕,FALSE,
フレイルの攻撃力上昇,フレイル,none,〇,FALSE,
フレイルの攻撃でHP回復,フレイル,none,✕,FALSE,
フレイルの攻撃でFP回復,フレイル,none,✕,FALSE,
フレイルの武器種を3つ以上装備していると攻撃力上昇,フレイル,none,✕,FALSE,
大槌の攻撃力上昇,大槌,none,〇,FALSE,
大槌の攻撃でHP回復,大槌,none,✕,FALSE,
大槌の攻撃でFP回復,大槌,none,✕,FALSE,
大槌の武器種を3つ以上装備していると攻撃力上昇,大槌,none,✕,FALSE,
特大武器の攻撃力上昇,特大武器,none,〇,FALSE,
特大武器の攻撃でHP回復,特大武器,none,✕,FALSE,
特大武器の攻撃でFP回復,特大武器,none,✕,FALSE,
特大武器の武器種を3つ以上装備していると攻撃力上昇,特大武器,none,✕,FALSE,
槍の攻撃力上昇,槍,none,〇,FALSE,
槍の攻撃でHP回復,槍,none,✕,FALSE,
槍の攻撃でFP回復,槍,none,✕,FALSE,
槍の武器種を3つ以上装備していると攻撃力上昇,槍,none,✕,FALSE,
大槍の攻撃力上昇,大槍,none,〇,FALSE,
大槍の攻撃でHP回復,大槍,none,✕,FALSE,
大槍の攻撃でFP回復,大槍,none,✕,FALSE,
大槍の武器種を3つ以上装備していると攻撃力上昇,大槍,none,✕,FALSE,
斧槍の攻撃力上昇,斧槍,none,〇,FALSE,
斧槍の攻撃でHP回復,斧槍,none,✕,FALSE,
斧槍の攻撃でFP回復,斧槍,none,✕,FALSE,
斧槍の武器種を3つ以上装備していると攻撃力上昇,斧槍,none,✕,FALSE,
鎌の攻撃力上昇,鎌,none,〇,FALSE,
鎌の攻撃でHP回復,鎌,none,✕,FALSE,
鎌の攻撃でFP回復,鎌,none,✕,FALSE,
鎌の武器種を3つ以上装備していると攻撃力上昇,鎌,none,✕,FALSE,
鞭の攻撃力上昇,鞭,none,〇,FALSE,
鞭の攻撃でHP回復,鞭,none,✕,FALSE,
鞭の攻撃でFP回復,鞭,none,✕,FALSE,
鞭の武器種を3つ以上装備していると攻撃力上昇,鞭,none,✕,FALSE,
拳の攻撃力上昇,拳,none,〇,FALSE,
拳の攻撃でHP回復,拳,none,✕,FALSE,
拳の攻撃でFP回復,拳,none,✕,FALSE,
拳の武器種を3つ以上装備していると攻撃力上昇,拳,none,✕,FALSE,
爪の攻撃力上昇,爪,none,〇,FALSE,
爪の攻撃でHP回復,爪,none,✕,FALSE,
爪の攻撃でFP回復,爪,none,✕,FALSE,
爪の武器種を3つ以上装備していると攻撃力上昇,爪,none,✕,FALSE,
弓の攻撃力上昇,弓,none,〇,FALSE,
弓の攻撃でHP回復,弓,none,✕,FALSE,
弓の攻撃でFP回復,弓,none,✕,FALSE,
弓の武器種を3つ以上装備していると攻撃力上昇,弓,none,✕,FALSE,
小盾の武器種を3つ以上装備していると最大HP上昇,小盾,none,✕,FALSE,
中盾の武器種を3つ以上装備していると最大HP上昇,中盾,none,✕,FALSE,
大盾の武器種を3つ以上装備していると最大HP上昇,大盾,none,✕,FALSE,
杖の武器種を3つ以上装備していると最大FP上昇,杖,none,✕,FALSE,
聖印の武器種を3つ以上装備していると最大FP上昇,聖印,none,✕,FALSE,
-,-,none,✕,FALSE,
